id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,iata_code
4650,03N,small_airport,Utirik Airport,11.222,169.852005,4.0,OC,MH,MH-UTI,Utirik Island,UTK
6924,07FA,small_airport,Ocean Reef Club Airport,25.325399398804,-80.274803161621,8.0,,US,US-FL,Key Largo,OCA
7063,0AK,small_airport,Pilot Station Airport,61.934601,-162.899994,305.0,,US,US-AK,Pilot Station,PQS
7139,0CO2,small_airport,Crested Butte Airpark,38.851918,-106.928341,8980.0,,US,US-CO,Crested Butte,CSE
7545,0TE7,small_airport,LBJ Ranch Airport,30.251800537100003,-98.6224975586,1515.0,,US,US-TX,Johnson City,JCY
7866,13Z,seaplane_base,Loring Seaplane Base,55.601299,-131.636993,,,US,US-AK,Loring,WLR
7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12.0,,US,US-AK,Nunapitchuk,NUP
7994,16K,seaplane_base,Port Alice Seaplane Base,55.803,-133.597,0.0,,US,US-AK,Port Alice,PTC
8126,19AK,small_airport,Icy Bay Airport,59.966269,-141.660118,50.0,,US,US-AK,Icy Bay,ICY
8159,19P,seaplane_base,Port Protection Seaplane Base,56.328800201416,-133.61000061035,0.0,,US,US-AK,Port Protection,PPV
8383,1KC,small_airport,Kalakaket Creek AS Airport,64.4166256967,-156.820392609,1598.0,,US,US-AK,Kalakaket Creek,KKK
8566,1O6,small_airport,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,3258.0,,US,US-CA,Dunsmuir,MHS
8753,1XA2,small_airport,Chase Field Industrial Airport,28.362444,-97.661917,190.0,,US,US-TX,Beeville,NIR
8774,1Z1,small_airport,Grand Canyon Bar Ten Airstrip,36.258614,-113.231159,4100.0,,US,US-AZ,Littlefield,GCT
8775,1Z9,seaplane_base,Ellamar Seaplane Base,60.893818,-146.704038,0.0,,US,US-AK,Ellamar,ELW
9287,2AK,small_airport,Lime Village Airport,61.3591003418,-155.440002441,552.0,,US,US-AK,Lime Village,LVD
9294,2AK6,small_airport,Hog River Airport,66.2161026,-155.6690063,534.0,,US,US-AK,Hogatza,HGZ
20770,2IG4,small_airport,Ed-Air Airport,38.851782,-87.49987,426.0,,US,US-IN,Oaktown,OTN
9485,2K5,small_airport,Telida Airport,63.393901824951,-153.26899719238,650.0,,US,US-AK,Telida,TLF
9776,2TE0,small_airport,Eagle Air Park,28.982200622559,-95.579696655273,15.0,,US,US-TX,Brazoria,BZT
9902,2Z1,seaplane_base,Entrance Island Seaplane Base,57.412201,-133.43848,0.0,,US,US-AK,Entrance Island,HBH
9906,2Z6,seaplane_base,False Island Seaplane Base,57.5321998596,-135.212997437,,,US,US-AK,False Island,FAK
10309,38WA,small_airport,Blakely Island Airport,48.578998565700005,-122.825996399,66.0,,US,US-WA,Blakely Island,BYW
